timestamp,roll,pitch,yaw,nose_x,nose_y,direction
2025-04-09 14:56:55.574670,128.88,-0.06,-11.95,323,297,left
2025-04-09 14:56:56.594627,127.33,-0.01,-9.82,320,327,center
2025-04-09 14:56:57.603610,127.68,0.46,-3.01,343,351,center
2025-04-09 14:56:58.611567,136.22,0.99,-11.57,285,300,left
2025-04-09 14:56:59.619551,132.35,1.83,-4.93,330,303,center
2025-04-09 14:57:00.691442,131.31,2.25,-5.14,327,298,center
2025-04-09 14:57:01.699426,131.35,2.45,-2.33,352,296,center
2025-04-09 14:57:02.707383,130.69,1.51,-1.24,359,296,center
2025-04-09 15:01:29.261408,131.32,4.36,11.17,410,323,right
2025-04-09 15:01:30.285348,130.22,1.79,8.29,393,315,center
2025-04-09 15:01:31.293317,130.23,2.30,12.96,382,351,right
2025-04-09 15:01:32.301288,129.62,2.08,19.42,334,376,right
2025-04-09 15:01:33.308259,132.74,8.75,-4.71,365,220,center
2025-04-09 15:01:34.316231,136.02,1.79,3.50,386,232,center
2025-04-09 15:01:35.325213,130.68,16.57,-4.55,347,190,center
2025-04-09 15:01:36.333169,136.70,7.70,1.58,425,216,center
2025-04-09 15:01:37.340142,130.98,14.43,-7.12,382,205,center
2025-04-09 15:01:38.349110,131.89,10.90,-3.60,403,214,center
2025-04-09 15:01:39.357094,136.03,5.44,-1.30,432,230,center
2025-04-09 15:01:40.365050,140.54,13.21,-9.31,363,262,center
2025-04-09 15:01:41.374020,136.35,5.94,2.88,456,239,center
2025-04-10 12:21:28.176644,133.04,-5.18,-2.17,265,414,center
2025-04-10 12:21:29.189307,131.27,-4.64,-0.48,278,400,center
2025-04-10 12:21:30.205619,132.44,-4.58,-0.89,277,402,center
2025-04-10 12:21:31.225612,132.49,-5.12,-1.04,273,404,center
2025-04-10 12:21:32.241561,132.17,-4.13,2.75,294,386,center
2025-04-10 12:21:33.257585,133.50,-4.07,0.82,279,404,center
2025-04-10 12:21:34.278190,132.59,-4.25,1.19,281,404,center
2025-04-10 12:21:35.293507,133.79,-3.83,-0.09,278,405,center
2025-04-10 12:21:36.315791,135.76,-3.89,-1.10,275,406,center
2025-04-10 12:21:37.329642,133.69,-4.28,-0.14,276,406,center
2025-04-10 12:21:38.345492,127.21,-2.65,-2.52,253,359,center
2025-04-10 12:21:39.365487,132.70,-4.14,-1.23,277,360,center
2025-04-10 12:21:40.381773,147.37,1.38,-3.89,337,218,center
2025-04-10 12:21:41.397486,-122.80,-13.20,-15.41,262,181,left
2025-04-10 12:21:42.417991,144.72,0.66,-2.40,336,249,center
2025-04-10 12:21:43.425335,144.82,0.40,-3.64,322,258,center
2025-04-10 12:21:44.450639,142.73,1.98,-5.59,298,248,center
2025-04-10 12:21:45.469581,146.80,5.68,-8.21,270,236,center
2025-04-10 12:21:46.486819,143.93,0.89,-4.22,319,275,center
2025-04-10 12:21:47.501757,147.49,1.74,-6.16,308,284,center
2025-04-10 12:21:48.522809,148.72,0.97,-5.76,308,284,center
2025-04-10 12:21:49.537620,148.48,1.82,-5.80,308,283,center
2025-04-10 12:21:50.555141,147.59,2.16,-5.84,307,283,center
2025-04-10 12:21:51.573649,144.59,0.78,-1.22,331,260,center
2025-04-10 12:21:52.590071,147.10,1.12,-5.05,306,270,center
2025-04-10 12:21:53.605592,148.89,2.94,-6.69,281,272,center
2025-04-10 12:21:54.628316,146.17,1.43,-4.47,311,272,center
2025-04-10 12:21:55.641660,143.49,0.61,-3.68,320,261,center
2025-04-10 12:21:56.661707,143.67,3.77,-7.84,285,253,center
2025-04-10 12:21:57.678128,149.93,2.09,-10.13,279,280,left
2025-04-10 12:21:58.702463,145.62,1.81,-5.99,305,269,center
2025-04-10 12:21:59.713823,146.29,1.34,-5.91,303,271,center
2025-04-10 12:22:00.729770,147.43,1.23,-5.73,305,271,center
2025-04-10 12:22:01.745732,146.16,1.63,-5.46,306,269,center
2025-04-10 12:22:02.766651,145.14,2.28,-5.87,304,267,center
2025-04-10 12:22:03.781830,145.22,0.07,0.68,332,267,center
2025-04-10 12:22:04.797534,141.58,1.89,-2.08,320,244,center
2025-04-10 12:22:05.817828,140.75,7.29,-9.48,272,220,center
2025-04-10 12:22:06.833873,142.56,0.24,-2.60,310,253,center
